target,step,w2_to_goal
"trench right, spoil left",0,0.46759878452180337
"trench right, spoil left",10,0.4674989670232239
"trench right, spoil left",20,0.4675567351670531
"trench right, spoil left",30,0.46724655510068275
"trench right, spoil left",40,0.4670836405674664
"trench right, spoil left",50,0.4643911806889458
"trench right, spoil left",60,0.462762352951186
"trench right, spoil left",70,0.46859521372128093
"trench right, spoil left",80,0.4615659492237399
"trench right, spoil left",90,0.4327920677755518
"trench right, spoil left",100,0.3814113163889328
"trench right, spoil left",110,0.33551820202766935
"trench right, spoil left",120,0.2877229994769205
"trench right, spoil left",130,0.2541521182383504
"trench right, spoil left",140,0.22800768202118696
"trench right, spoil left",150,0.21776303283379272
"trench right, spoil left",160,0.2216618650292173
"trench right, spoil left",170,0.22626976627890052
"trench right, spoil left",180,0.22546592132232793
"trench right, spoil left",190,0.22630600027005723
"trench right, spoil left",200,0.2278156928042157
"trench right, spoil left",210,0.2260744124912267
"trench right, spoil left",220,0.22444368787297395
"trench right, spoil left",230,0.22601662701664393
"trench right, spoil left",240,0.22490575084685727
"trench right, spoil left",250,0.2237373043480879
"trench right, spoil left",260,0.23002291517341217
"trench right, spoil left",270,0.22777864202177667
"trench right, spoil left",280,0.22890935935881077
"trench right, spoil left",290,0.2318928388594266
"trench right, spoil left",300,0.2340529691554127
"trench right, spoil left",310,0.23346710774909457
"trench right, spoil left",320,0.23152086487767762
"trench right, spoil left",330,0.2302583396561216
"trench right, spoil left",340,0.23005928404862655
"trench right, spoil left",350,0.22920638456318596
"trench right, spoil left",360,0.22964513749641366
"trench right, spoil left",370,0.22991516313083982
"trench right, spoil left",380,0.23044417640760215
"trench right, spoil left",390,0.230222863776431
"trench right, spoil left",400,0.23030049462981408
central berm,0,0.36221503617720374
central berm,10,0.36288332453109856
central berm,20,0.3629577462252941
central berm,30,0.363001693363263
central berm,40,0.3631222654018936
central berm,50,0.3631745515656614
central berm,60,0.3625258420254709
central berm,70,0.36229394811222754
central berm,80,0.3563640837267321
central berm,90,0.33098601238359543
central berm,100,0.31464729590841023
central berm,110,0.29626164626763263
central berm,120,0.28268569227153767
central berm,130,0.27746841432562563
central berm,140,0.2720250232813698
central berm,150,0.27140282222640366
central berm,160,0.2701441927809229
central berm,170,0.27030568007613853
central berm,180,0.271277785077299
central berm,190,0.2685068672608994
central berm,200,0.26345701145036715
central berm,210,0.2614809007471147
central berm,220,0.2570522197436927
central berm,230,0.25579529601176293
central berm,240,0.2541168627865862
central berm,250,0.25392510243645516
central berm,260,0.2557979479413724
central berm,270,0.26311423532044903
central berm,280,0.268128112993186
central berm,290,0.2680506572657599
central berm,300,0.26144322247772284
central berm,310,0.25264376676099326
central berm,320,0.2507910723368535
central berm,330,0.24837805823555217
central berm,340,0.2510602268806239
central berm,350,0.25669330676892727
central berm,360,0.26092672875001427
central berm,370,0.26589589777630734
central berm,380,0.2665962666884967
central berm,390,0.2607012209098416
central berm,400,0.2538396488006599
flatten workspace,0,0.061774002857792214
flatten workspace,10,0.06275637217391584
flatten workspace,20,0.06318528967378285
flatten workspace,30,0.06383700279828372
flatten workspace,40,0.06451911982098786
flatten workspace,50,0.06481273404682791
flatten workspace,60,0.065266320093854
flatten workspace,70,0.06540080127444056
flatten workspace,80,0.06569567516030307
flatten workspace,90,0.06569567516030307
flatten workspace,100,0.06671906574221957
flatten workspace,110,0.06679331551511333
flatten workspace,120,0.06633056317011278
flatten workspace,130,0.06629470172970028
flatten workspace,140,0.0673570556346886
flatten workspace,150,0.06718729436731037
flatten workspace,160,0.06718729436731037
flatten workspace,170,0.06718729436731037
flatten workspace,180,0.06796958388739893
flatten workspace,190,0.06796958388739893
flatten workspace,200,0.06795744875978582
flatten workspace,210,0.06750007811484471
flatten workspace,220,0.0674551666420483
flatten workspace,230,0.06726134393790117
flatten workspace,240,0.06726134393790117
flatten workspace,250,0.06696881826324817
flatten workspace,260,0.06736870181755329
flatten workspace,270,0.06736870181755329
flatten workspace,280,0.06795264702442232
flatten workspace,290,0.06795264702442232
flatten workspace,300,0.06795264702442232
flatten workspace,310,0.06758282064037881
flatten workspace,320,0.06758282064037881
flatten workspace,330,0.06758282064037881
flatten workspace,340,0.06781762293683997
flatten workspace,350,0.06781762293683997
flatten workspace,360,0.0683585343805246
flatten workspace,370,0.0683585343805246
flatten workspace,380,0.0683585343805246
flatten workspace,390,0.0683585343805246
flatten workspace,400,0.0683585343805246
